row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
0,3901,2699,2308,1096,0.780668401,0.591060606,0.780668401,0.460954663,0.672760197,,,,
1,1828,1576,4188,2412,0.431132075,0.537015276,0.431132075,0.726578765,0.478283621,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.572670932,0.187969375,,37
0,3900,2689,2318,1097,0.780468281,0.591895584,0.780468281,0.462951867,0.673226308,,,,
1,1835,1580,4184,2405,0.432783019,0.537335286,0.432783019,0.725884802,0.479425212,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573270692,0.189237254,,38
0,3927,2710,2297,1070,0.785871523,0.591682989,0.785871523,0.458757739,0.675090253,,,,
1,1813,1554,4210,2427,0.42759434,0.538461538,0.42759434,0.730395559,0.476666228,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573770492,0.189627843,,39
0,3921,2709,2298,1076,0.784670802,0.591402715,0.784670802,0.45895746,0.674464608,,,,
1,1810,1564,4200,2430,0.426886792,0.536455246,0.426886792,0.728660652,0.475439979,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.572870852,0.187999137,,40
0,3930,2722,2285,1067,0.786471883,0.590799759,0.786471883,0.456361094,0.674736029,,,,
1,1802,1549,4215,2438,0.425,0.537749925,0.425,0.731263012,0.474772757,,,,
2,1,0,9522,481,0.002074689,1,0.002074689,1,0.004140787,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573070772,0.18818033,,41
0,3924,2734,2273,1073,0.785271163,0.589366176,0.785271163,0.45396445,0.673359073,,,,
