row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,,
Overall,,,,,,,,,,0.614087698,0.267065609,,,33
0,6153,3735,3775,1343,0.82083778,0.622269417,0.82083778,0.502663116,0.707892315,,,,,
1,3044,2072,6575,3315,0.478691618,0.594996091,0.478691618,0.760379322,0.530544662,,,,,
2,1,1,14281,723,0.001381215,0.5,0.001381215,0.999929982,0.002754821,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.612954818,0.26467426,,,34
0,6154,3750,3760,1342,0.820971185,0.621365105,0.820971185,0.500665779,0.707356322,,,,,
1,3031,2069,6578,3328,0.476647272,0.594313725,0.476647272,0.760726263,0.529016494,,,,,
2,1,1,14281,723,0.001381215,0.5,0.001381215,0.999929982,0.002754821,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.612155138,0.26304188,,,35
0,6151,3765,3745,1345,0.820570971,0.620310609,0.820570971,0.498668442,0.706524236,,,,,
1,3019,2070,6577,3340,0.474760182,0.593240322,0.474760182,0.760610616,0.527428372,,,,,
2,1,0,14282,723,0.001381215,1,0.001381215,1,0.002758621,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.611155538,0.261022285,,,36
0,6151,3766,3744,1345,0.820570971,0.620248059,0.820570971,0.498535286,0.706483662,,,,,
1,3018,2071,6576,3341,0.474602925,0.59304382,0.474602925,0.760494969,0.527253669,,,,,
2,0,0,14282,724,0,,0,1,,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.611022258,0.260726741,,,37
0,6160,3772,3738,1336,0.821771612,0.620217479,0.821771612,0.497736352,0.706908423,,,,,
1,3006,2068,6579,3353,0.472715836,0.592432006,0.472715836,0.76084191,0.525846235,,,,,
2,0,0,14282,724,0,,0,1,,,,,,
3,0,0,14698,308,0,,0,1,,,,,,
4,0,0,14950,56,0,,0,1,,,,,,
5,0,0,14974,32,0,,0,1,,,,,,
6,0,0,14984,22,0,,0,1,,,,,,
7,0,0,15003,3,0,,0,1,,,,,,
8,0,0,15003,3,0,,0,1,,,,,,
9,0,0,15003,3,0,,0,1,,,,,,
Overall,,,,,,,,,,0.610822338,0.260240296,,,38
0,6160,3795,3715,1336,0.821771612,0.61878453,0.821771612,0.494673768,0.705976735,,,,,
1,2984,2067,6580,3375,0.469256172,0.590774104,0.469256172,0.760957558,0.523049956,,,,,
2,0,0,14282,724,0,,0,1,,,,,,
